Segment,Cable Size,Start Address,End Address,Item # (A/B/C…),Span (ft),Length (raw),Storage (ft),SP Page,CAD Checkbox (QC),Notes
HSP.01.05.21 48,48,5221 CROOKED BLUFF LN,5204 CROOKED BLUFF LN,J,118,118,50,27,48,
HSP.01.05.21 48,48,5221 CROOKED BLUFF LN,5204 CROOKED BLUFF LN,K,87,87,50,28,BLANK,
HSP.01.05.21 48,48,5221 CROOKED BLUFF LN,5204 CROOKED BLUFF LN,K,485,485,50,27,48,
HSP.01.05.21 48,48,5221 CROOKED BLUFF LN,5204 CROOKED BLUFF LN,L,177,177,50,28,BLANK,
HSP.01.05.21 48,48,5221 CROOKED BLUFF LN,5204 CROOKED BLUFF LN,M,32,32,50,28,BLANK,
HSP.01.05.21 48,48,5221 CROOKED BLUFF LN,5204 CROOKED BLUFF LN,N,42,42,50,28,BLANK,
HSP.01.05.21 48,48,5221 CROOKED BLUFF LN,5204 CROOKED BLUFF LN,O,154,154,50,28,BLANK,
HSP.01.05.22 48,48,5409 GREENSFLAG LN,5408 GREENSFLAG LN,ANCHOR,0,–,50,–,–,"Row 15 anchor — SPAN always 0, STORAGE always 50"
HSP.01.05.22 48,48,5409 GREENSFLAG LN,5408 GREENSFLAG LN,A,13,13,50,29,48,
HSP.01.05.22 48,48,5409 GREENSFLAG LN,5408 GREENSFLAG LN,B,42,42,50,29,BLANK,
HSP.01.05.22 48,48,5409 GREENSFLAG LN,5408 GREENSFLAG LN,C,96,96,50,29,48,
HSP.01.05.22 48,48,5409 GREENSFLAG LN,5408 GREENSFLAG LN,D,193,193,50,29,BLANK,
HSP.01.05.22 48,48,5409 GREENSFLAG LN,5408 GREENSFLAG LN,E,63,63,50,29,BLANK,
HSP.01.05.22 48,48,5409 GREENSFLAG LN,5408 GREENSFLAG LN,F,136,136,50,29,48,
HSP.01.05.22 48,48,5409 GREENSFLAG LN,5408 GREENSFLAG LN,G,99,99,50,29,48,
HSP.01.05.22 48,48,5409 GREENSFLAG LN,5408 GREENSFLAG LN,H,42,42,50,29,BLANK,
HSP.01.05.22 48,48,5409 GREENSFLAG LN,5408 GREENSFLAG LN,I,39,39,50,29,BLANK,
HSP.01.05.22 48,48,5409 GREENSFLAG LN,5408 GREENSFLAG LN,J,60,60,50,30,48,
HSP.01.05.22 48,48,5409 GREENSFLAG LN,5408 GREENSFLAG LN,J,159,159,50,29,48,
HSP.01.05.22 48,48,5409 GREENSFLAG LN,5408 GREENSFLAG LN,K,147,147,50,29,BLANK,
HSP.01.05.22 48,48,5409 GREENSFLAG LN,5408 GREENSFLAG LN,L,110,110,50,29,BLANK,
HSP.01.05.22 48,48,5409 GREENSFLAG LN,5408 GREENSFLAG LN,L,167,167,50,27,48,
HSP.01.05.22 48,48,5409 GREENSFLAG LN,5408 GREENSFLAG LN,M,88,88,50,29,BLANK,
HSP.01.05.22 48,48,5409 GREENSFLAG LN,5408 GREENSFLAG LN,M,50,50,50,27,48,
HSP.01.05.22 48,48,5409 GREENSFLAG LN,5408 GREENSFLAG LN,N,43,43,50,27,BLANK,
HSP.01.05.22 48,48,5409 GREENSFLAG LN,5408 GREENSFLAG LN,O,103,103,50,27,48,
HSP.01.05.22 48,48,5409 GREENSFLAG LN,5408 GREENSFLAG LN,P,127,127,50,27,48,
HSP.01.05.22 48,48,5409 GREENSFLAG LN,5408 GREENSFLAG LN,Q,264,264,50,27,48,
HSP.01.05.23 48,48,4728 LINARIA LN,4700 LINARIA LN,ANCHOR,0,–,50,–,–,"Row 15 anchor — SPAN always 0, STORAGE always 50"
HSP.01.05.23 48,48,4728 LINARIA LN,4700 LINARIA LN,G,139,139,50,30,48,
HSP.01.05.23 48,48,4728 LINARIA LN,4700 LINARIA LN,H,144,144,50,30,48,
HSP.01.05.23 48,48,4728 LINARIA LN,4700 LINARIA LN,I,42,42,50,30,BLANK,
HSP.01.05.23 48,48,4728 LINARIA LN,4700 LINARIA LN,K,177,177,50,30,48,
HSP.01.05.23 48,48,4728 LINARIA LN,4700 LINARIA LN,L,177,177,50,30,48,
HSP.01.05.23 48,48,4728 LINARIA LN,4700 LINARIA LN,M,21,21,50,30,48,
HSP.01.05.23 48,48,4728 LINARIA LN,4700 LINARIA LN,N,40,40,50,30,BLANK,
HSP.01.05.23 48,48,4728 LINARIA LN,4700 LINARIA LN,O,145,145,50,30,BLANK,
HSP.01.05.23 48,48,4728 LINARIA LN,4700 LINARIA LN,P,83,83,50,30,BLANK,
HSP.01.05.24 48,48,5460 BRUSHY MEADOWS DR,5500 BRUSHY MEADOWS DR,ANCHOR,0,–,50,–,–,"Row 15 anchor — SPAN always 0, STORAGE always 50"
HSP.01.05.24 48,48,5460 BRUSHY MEADOWS DR,5500 BRUSHY MEADOWS DR,A,93,93,50,24,48,
HSP.01.05.24 48,48,5460 BRUSHY MEADOWS DR,5500 BRUSHY MEADOWS DR,A,211,211,50,10,48,
HSP.01.05.24 48,48,5460 BRUSHY MEADOWS DR,5500 BRUSHY MEADOWS DR,B,42,42,50,10,BLANK,
HSP.01.05.24 48,48,5460 BRUSHY MEADOWS DR,5500 BRUSHY MEADOWS DR,C,43,43,50,10,BLANK,
HSP.01.05.24 48,48,5460 BRUSHY MEADOWS DR,5500 BRUSHY MEADOWS DR,D,59,59,50,9,48,
HSP.01.05.24 48,48,5460 BRUSHY MEADOWS DR,5500 BRUSHY MEADOWS DR,D,53,53,50,10,BLANK,
HSP.01.05.24 48,48,5460 BRUSHY MEADOWS DR,5500 BRUSHY MEADOWS DR,E,60,60,50,10,96,⚠️ CHECKBOX MISMATCH
HSP.01.05.24 48,48,5460 BRUSHY MEADOWS DR,5500 BRUSHY MEADOWS DR,F,370,370,50,10,48,
HSP.01.05.24 48,48,5460 BRUSHY MEADOWS DR,5500 BRUSHY MEADOWS DR,G,120,120,50,10,96,⚠️ CHECKBOX MISMATCH
HSP.01.05.24 48,48,5460 BRUSHY MEADOWS DR,5500 BRUSHY MEADOWS DR,H,257,257,50,10,96,⚠️ CHECKBOX MISMATCH
HSP.01.05.24 48,48,5460 BRUSHY MEADOWS DR,5500 BRUSHY MEADOWS DR,J,308,308,50,10,BLANK,
"HSP.01,05.25 48",48,5500 LINKSIDE CT,4601 HILLTOP NEEDMORE RD,ANCHOR,0,–,50,–,–,"Row 15 anchor — SPAN always 0, STORAGE always 50"
"HSP.01,05.25 48",48,5500 LINKSIDE CT,4601 HILLTOP NEEDMORE RD,A,500,500,50,31,96,⚠️ CHECKBOX MISMATCH
"HSP.01,05.25 48",48,5500 LINKSIDE CT,4601 HILLTOP NEEDMORE RD,K,472,472,50,10,96,⚠️ CHECKBOX MISMATCH
HSP.01.05.26 48,48,4704 STABLEFORD CT,4704 STABLEFORD CT,ANCHOR,0,–,50,–,–,"Row 15 anchor — SPAN always 0, STORAGE always 50"
HSP.01.05.26 48,48,4704 STABLEFORD CT,4704 STABLEFORD CT,A,191,191,50,30,48,
HSP.01.05.26 48,48,4704 STABLEFORD CT,4704 STABLEFORD CT,B,135,135,50,30,48,
HSP.01.05.26 48,48,4704 STABLEFORD CT,4704 STABLEFORD CT,C,83,83,50,30,BLANK,
HSP.01.05.26 48,48,4704 STABLEFORD CT,4704 STABLEFORD CT,D,70,70,50,30,48,
HSP.01.05.26 48,48,4704 STABLEFORD CT,4704 STABLEFORD CT,E,40,40,50,30,BLANK,
HSP.01.05.26 48,48,4704 STABLEFORD CT,4704 STABLEFORD CT,F,140,140,50,30,48,
HSP.01.05.26 48,48,4704 STABLEFORD CT,4704 STABLEFORD CT,N,89,89,50,29,BLANK,
HSP.01.05.26 48,48,4704 STABLEFORD CT,4704 STABLEFORD CT,O,120,120,50,29,BLANK,
HSP.01.05.26 48,48,4704 STABLEFORD CT,4704 STABLEFORD CT,P,11,11,50,29,48,
HSP.01.05.26 48,48,4704 STABLEFORD CT,4704 STABLEFORD CT,Q,41,41,50,29,BLANK,
HSP.01.05.26 48,48,4704 STABLEFORD CT,4704 STABLEFORD CT,R,168,168,50,29,48,
HSP.01.05.26 48,48,4704 STABLEFORD CT,4704 STABLEFORD CT,S,75,75,50,29,48,
HSP.01.05.26 48,48,4704 STABLEFORD CT,4704 STABLEFORD CT,T,40,40,50,29,BLANK,
